c|с
b|и
r|к
еру|the
иу|be
аш|fi
wtynh|центр
ult|где
Атомстройэкспорт|Fnjvcnhjq'rcgjhn
АЭХК|F"{R
ЭХЗ|"{P
ВПО Точмаш|DGJ Njxvfi
АО ЧМЗ|FJ XVP
ВНИИНМ|DYBBYV
Атомэнергомаш|Fnjv'ythujvfi
ЗиО|PbJ
Гидропресс|Ublhjghtcc
СвердНИИхиммаш|CdthlYBB[bvvfi
ОЗТМиТС|JPNVbNC
ATOMENERGOMASH CYPRUS LIMITED|ФЕЩЬУТУКПЩЬФЫР СНЗКГЫ ДШЬШЕУВ
EMSS Holdings Limited|УЬЫЫ Рщдвштпы Дшьшеув
Ganz Energetika Kft. |Пфтя Утукпуешлф Лае~ 
ООО ААЭМ|JJJ FF"V
РФЯЦ-ВНИИЭФ|HAZW-DYBB"A
РФЯЦ|HAZW
ФГУП ПСЗ|AUEG GCP
ВПО ЗАЭС|DGJ PF"C
АО АТЭК|FJ FN"R
АО ИРМ|FJ BHV
ГНЦ РФ ФЭИ|UYW HA A"B
Гиредмет|Ubhtlvtn
НИИ НПО Луч|YBB YGJ Kex
НИИАР|YBBFH
НТЦ ЯФИ|YNW ZAB
НИИграфит|YBBuhfabn
НИИП|YBBG
ГХК|U{R
РАДОН|HFLJY
АО ОДЦ УГР|FJ JLW EUH
НО РАО|YJ HFJ
АО Атомредметзолото|FJ Fnjvhtlvtnpjkjnj
ПАО ППГХО|GFJ GGU{J
АОАТЦ|FJFNW
Атом-охрана|Fnjv-j[hfyf
Атомбезопасность|Fnjv,tpjgfcyjcnm
Центр Атомзащитаинформ|Wtynh Fnjvpfobnfbyajhv
АО Атомэнергомаш|FJ Fnjv'ythujvfi
ВНИИА им. Н.Л. Духова|DYBBF bv~ Y~K~ Le[jdf
ВНИПИПромтехнологии|DYBGBGhjvnt[yjkjubb
ВНИИХТ|DYBB{N
ГСПИ|UCGB
ИТЦ ДЖЭТ|BNW L:"N
Дедал|Ltlfk
ДЕЗ|LTP
Изотоп|Bpjnjg
НПП Инжект|YGG By;trn
ИнноХаб|Byyj{f,
МЦИ МБИР|VWB V<BH
ЛЦ ЯТЦ|KW ZNW
МСЗ|VCP
ПО Маяк|GJ Vfzr
НИИТФА|YBBNAF
НИИЭФА|YBB"AF
НИТИ|YBNB
НИФХИ|YBA{B
НИКИЭТ|YBRB"N
НИЦ АЭС |YBW F"C 
НЗХК|YP{R
ОКБМ Африкантов|JR<V Fahbrfynjd
ОЦКС Росатома|JWRC Hjcfnjvf
Прорыв|Ghjhsd
РУСАТОМ ГРИНВЭЙ|HECFNJV UHBYD"Q
АО РАОС|FJ HFJC
Русреактор|Hechtfrnjh
РЭИН|H"BY
ПО Север|GJ Ctdth
ООО СМБ|JJJ CV<
ПО Старт им. М.В. Проценко|GJ Cnfhn bv~ V~D~ Ghjwtyrj
ТЕНЕКС-Сервис|NTYTRC-Cthdbc
АНО ДПО|FYJ LGJ
Техэнерго-ЭХП|Nt['ythuj-"{G
ГНЦ РФ ТРИНИТИ|UYW HA NHBYBNB
УАЗ|EFP
УЭХК|E"{R
ФГУП|AUEG
ЧУ Центратомархив|XE Wtynhfnjvfh[bd
ЦентрАтом|WtynhFnjv
НПО|YGJ
ФЦНИВТ СНПО Элерон|AWYBDN CYGJ "kthjy
ТВЭЛ|ND"K
ОК РСК|JR HCR
СХК|C{R
ИЦ РГЦ|BW HUW
КМЗ|RVP
УЗГЦ|EPUW
ЧМЗ|XVP
МЗП|VPG
ОКБ-НН|JR<-YY
ЗЭП|P"G
КЦ|RW
СибМЗ|Cb,VP
ЦОУ|WJE
ЭЛЕМАШ|"KTVFI
ЛОК|KJR
УАТ НЗХК|EFN YP{R
Былина|<skbyf
НИЦ|YBW
ЭЛЕМАШ-СТП|"KTVFI-CNG
ПКО|GRJ
СТК|CNR
ТЛЦ|NKW
ЦПТИ|WGNB
SELMI|ЫУДЬШ
НП-Атом|YG-Fnjv
ОКБМ|JR<V
РЭМКО|H"VRJ
ЗИОМАР|PBJVFH
ЦКБМ|WR<V
ЦНИИТМАШ|WYBBNVFI
СНИИП|CYBBG
АТМ|FNV
Вента|Dtynf
ЭМКО|"VRJ
ARAKO|ФКФЛЩ
АЭМ-активы|F"V-frnbds
АЭМ-лизинг|F"V-kbpbyu
ОКТБ ИС|JRN< BC
СМК-ЮГ|CVR->U
ИФТП|BANG
БИНОМ|<BYJV
ААЭМ|FF"V
НГСС|YUCC
ВетроОГК|DtnhjJUR
ВНИИАСУ|DYBBFCE
NUKEM|ТГЛУЬ
АЭП|F"G
ЭИЗ|"BP
ЭХП|"{G
ВНИИТФ|DYBBNA
ВНИИАЭС|DYBBF"C
ЗАЭС|PF"C
ВДМУ|DLVE
ПАО|GFJ
ООО|JJJ
ИП|BG
АО|FJ
ВНИИА|DYBBF
ОЦКС|JWRC
ФЦНИВТ|AWYBDN
ФГБОУ|AU<JE
ВО|DJ
СПО|CGJ
РИР|HBH
ВПО|DGJ
ЗСЖЦ|PC:W
АСЭ|FC"
ИК|BR
АТЦ|FNW
т.д.|n/l/
тд|nl
пр.|gh/
пр|gh
т.п.|n/g/
тп|ng
МИФИ|VBAB
МГТУ|VUNE
